Tenor," GBP Rates 1100 25-Feb-2021"
    1 Year,0.07000
2 Years,0.21900
3 Years,0.34000
4 Years,0.45900
5 Years,0.57100
6 Years,0.67200
7 Years,0.76300
8 Years,0.84700
9 Years,0.92300
10 Years,0.99000
12 Years,1.09400
15 Years,1.19200
20 Years,1.26300
25 Years,1.28100
30 Years,1.27500

